"gene_id","gene_name","chromosome","locus","rpkm"
,"Klhdc1",12,"chr12:70342818-70384948",7.46279
,"Klhdc2",12,"chr12:70397667-70411674",22.8329
,"Nemf",12,"chr12:70412529-70458163",24.4229
,"Arf6",12,"chr12:70473136-70476967",65.3365
,"5830428M24Rik",12,"chr12:70565773-70576537",18.67639
,"Mettl21d",12,"chr12:70678614-70684015",21.0163
,"Sos2",12,"chr12:70684747-70782839",5.46156
,"L2hgdh",12,"chr12:70791422-70825861",2.02685
,"Atp5s",12,"chr12:70825948-70845645",5.30345
,"Cdkl1",12,"chr12:70847834-70891694",2.22569
,"Mir681",12,"chr12:70864821-70864931",0
,"4930512B01Rik",12,"chr12:70891330-70942867",0.02788
,"4931403G20Rik",12,"chr12:70944672-70954658",0.084839
,"Atl1",12,"chr12:70994091-71065072",1.16997
,"Gm3086",12,"chr12:71064395-71070731",2.44574
,"Map4k5",12,"chr12:70904743-70994150",8.01407
,"Sav1",12,"chr12:71065998-71087989",22.0463
,"Nin",12,"chr12:71112421-71212912",10.85116
,"Abhd12b",12,"chr12:71255157-71284193",0.403355
,"Pygl",12,"chr12:71291801-71328670",9.38496
,"F730035M05Rik",12,"chr12:71328827-71335152",0.014073
,"Trim9",12,"chr12:71345523-71448601",0.053806
,"Tmx1",12,"chr12:71554140-71568611",34.6203
,"Frmd6",12,"chr12:71926500-72003221",3.37464
,"Actr10",12,"chr12:72038843-72065704",16.0466
,"Psma3",12,"chr12:72075609-72095910",7.12862
,"3110056K07Rik",12,"chr12:72092601-72116810",53.09024
,"Arid4a",12,"chr12:72116953-72200338",21.5358
,"Tomm20l",12,"chr12:72212414-72224209",0.039112
,"Timm9",12,"chr12:72224158-72237662",36.9846
,"2700049A03Rik",12,"chr12:72237834-72344290",2.132917
,"Dact1",12,"chr12:72410870-72421094",3.334134
,"4930404H11Rik",12,"chr12:72641593-72657120",0
,"Daam1",12,"chr12:72932064-73093354",5.102185
,"Gpr135",12,"chr12:73170604-73171978",0.210172
,"2810055F11Rik",12,"chr12:73174414-73186300",1.97666
,"Jkamp",12,"chr12:73186825-73202514",18.3037
,"4930403N07Rik",12,"chr12:73202278-73286016",0.012778
,"Rtn1",12,"chr12:73312738-73509926",3.38768
,"Lrrc9",12,"chr12:73542852-73611552",0.030528
,"1810048J11Rik",12,"chr12:73637343-73681200",2.75465
,"Dhrs7",12,"chr12:73751339-73765815",16.9184
,"Ppm1a",12,"chr12:73862197-73895927",23.4463
,"4930447C04Rik",12,"chr12:73982095-74018752",0.027036
,"Six6",12,"chr12:74040931-74045886",0
,"Six1",12,"chr12:74142813-74147699",0
,"Six4",12,"chr12:74201245-74214232",0.034389
,"Mnat1",12,"chr12:74224703-74374975",8.56782
,"Trmt5",12,"chr12:74381396-74387698",12.3295
,"Slc38a6",12,"chr12:74387834-74455032",5.45959
,"D830013O20Rik",12,"chr12:74465061-74510550",0
,"Tmem30b",12,"chr12:74644100-74647382",0.024984
,"2210039B01Rik",12,"chr12:74649469-74652973",0
,"Prkch",12,"chr12:74686027-74879171",12.4692
,"Hif1a",12,"chr12:75008853-75048517",28.5948
,"Snapc1",12,"chr12:75065516-75085807",11.1098
,"Syt16",12,"chr12:75098747-75368903",0.006149
,"1700086L19Rik",12,"chr12:75385262-75396937",0
,"Dbpht2",12,"chr12:75398460-75401455",0
,"Kcnh5",12,"chr12:75998203-76278319",0.003988
,"Rhoj",12,"chr12:76409299-76502442",5.26855
,"Gphb5",12,"chr12:76512706-76517768",0.021804
,"Ppp2r5e",12,"chr12:76551867-76697187",11.9361
,"Wdr89",12,"chr12:76731580-76770524",3.54838
,"Rplp2-ps1",12,"chr12:76731911-76732736",360.281
,"Sgpp1",12,"chr12:76815234-76836716",24.9883
,"Syne2",12,"chr12:76919304-77211915",2.32506
,"Mir5101",12,"chr12:77010089-77010172",0
,"Esr2",12,"chr12:77221405-77278246",0.064415
,"Tex21",12,"chr12:77299676-77347733",0.008652
,"Mthfd1",12,"chr12:77356218-77420807",14.7149
,"Akap5",12,"chr12:77425877-77435138",12.3884
,"Zbtb25",12,"chr12:77449886-77470547",15.389947
,"Zbtb1",12,"chr12:77471252-77489734",24.0666
,"Hspa2",12,"chr12:77505162-77507923",1.960644
,"Ppp1r36",12,"chr12:77518585-77540478",0.110752
,"Gm10451",12,"chr12:77545483-77549685",2.02813
,"Mir5135",12,"chr12:77634120-77634199",0
,"Plekhg3",12,"chr12:77634546-77680026",5.7115
,"AI463170",12,"chr12:77647958-77648912",0.045603
,"Spnb1",12,"chr12:77681474-77811534",0.224967
,"Churc1",12,"chr12:77866559-77884165",49.5734
,"Gpx2",12,"chr12:77893321-77896541",0
,"Rab15",12,"chr12:77898949-77923511",1.15271
,"Fntb",12,"chr12:77938453-78022399",6.43586
,"Max",12,"chr12:78038255-78063235",66.423437
,"Fut8",12,"chr12:78339090-78576983",24.860525
,"Gphn",12,"chr12:79327641-79785756",5.409964
,"Fam71d",12,"chr12:79792521-79835506",0.099826
,"Mpp5",12,"chr12:79849933-79941700",7.01955
,"Atp6v1d",12,"chr12:79943968-79962625",53.7036
,"Eif2s1",12,"chr12:79963058-79987997",16.1
,"Plek2",12,"chr12:79989683-80007925",0.148349
,"Tmem229b",12,"chr12:80062781-80108264",14.257798
,"Plekhh1",12,"chr12:80130149-80182642",0.506578
,"Pigh",12,"chr12:80181657-80190657",12.1664
,"Arg2",12,"chr12:80231774-80257288",0.587446
,"Vti1b",12,"chr12:80257003-80273445",59.2948
,"Rdh11",12,"chr12:80276537-80292806",13.0153
,"Rdh12",12,"chr12:80309900-80323648",14.034
,"Zfyve26",12,"chr12:80333333-80397269",5.78199
,"Rad51l1",12,"chr12:80398268-80915677",1.959483
,"Zfp36l1",12,"chr12:81208746-81214000",49.0377
,"2310015A10Rik",12,"chr12:81221532-81233831",15.4457
,"Actn1",12,"chr12:81268528-81361358",19.5018
,"Dcaf5",12,"chr12:81436833-81537588",9.18592
,"Mir1843",12,"chr12:81492599-81492664",0
,"Scarna3b",12,"chr12:81492600-81492724",0
,"Exd2",12,"chr12:81564081-81599122",10.0695
,"2310002D06Rik",12,"chr12:81608192-81618941",0
,"Galntl1",12,"chr12:81619976-81704883",0.873388
,"Erh",12,"chr12:81735009-81744848",7.47382
,"Slc39a9",12,"chr12:81745201-81784329",11.3062
,"0610009B14Rik",12,"chr12:81787361-81793453",0.020895
,"3830431G21Rik",12,"chr12:81793587-81825203",0.023143
,"Gm1568",12,"chr12:81856433-81861702",0.003667
,"4933426M11Rik",12,"chr12:81891518-81981820",20.323519
,"1700052I22Rik",12,"chr12:82024418-82025434",0
,"Gm20337",12,"chr12:82043638-82046386",0.818988
,"Srsf5",12,"chr12:82046490-82051494",116.9725
,"Slc10a1",12,"chr12:82054171-82069066",0.796221
,"Smoc1",12,"chr12:82127794-82287401",0.405874
,"Mir3067",12,"chr12:82267137-82267221",0
,"Slc8a3",12,"chr12:82298901-82434167",0.009737
,"Gm4787",12,"chr12:82477977-82480473",0.44282
,"Adam4",12,"chr12:82520535-82522865",0.506304
,"Cox16",12,"chr12:82571690-82586097",18.1536
,"Synj2bp",12,"chr12:82593180-82633894",6.9018
,"Adam21",12,"chr12:82659570-82669461",0.062495
,"Med6",12,"chr12:82674550-82695945",27.1684
,"Ttc9",12,"chr12:82732355-82765928",0.32625
,"Map3k9",12,"chr12:82815936-82882157",0.974898
,"Pcnx",12,"chr12:82961016-83101911",3.80289
,"Sipa1l1",12,"chr12:83271002-83552771",6.94654
,"Rgs6",12,"chr12:83718024-84259799",0.082543
,"1700085C21Rik",12,"chr12:84033506-84040142",0.052492
,"Dpf3",12,"chr12:84370184-84828658",0.056188
,"Dcaf4",12,"chr12:84861415-84882942",10.2372
,"Zfyve1",12,"chr12:84887890-84938097",9.22469
,"Rbm25",12,"chr12:84973183-85024073",67.8751
,"Psen1",12,"chr12:85029512-85076149",20.3008
,"Papln",12,"chr12:85104583-85133334",0.161127
,"Numb",12,"chr12:85136388-85183293",8.12965
,"2410016O06Rik",12,"chr12:85291557-85293903",9.51207
,"Acot2",12,"chr12:85328810-85334825",5.8915
,"Acot1",12,"chr12:85350451-85358619",1.81641
,"Acot4",12,"chr12:85379328-85385673",0.094249
,"Acot3",12,"chr12:85393100-85400514",0.038623
,"Acot5",12,"chr12:85410274-85416969",0.046791
,"Acot6",12,"chr12:85441603-85450733",0.446586
,"Dnalc1",12,"chr12:85455277-85484460",1.5317
,"Pnma1",12,"chr12:85487080-85489439",0.349647
,"C130039O16Rik",12,"chr12:85490122-85559831",13.54857
,"Ptgr2",12,"chr12:85626245-85656782",14.796404
,"Zfp410",12,"chr12:85657808-85685389",21.14248
,"Fam161b",12,"chr12:85686266-85702771",0.682928
,"Coq6",12,"chr12:85702917-85714746",12.7329
,"Entpd5",12,"chr12:85714806-85749979",9.49404
,"2900006K08Rik",12,"chr12:85750017-85774730",0.501848
,"Aldh6a1",12,"chr12:85771667-85791900",7.50751
,"Rnf113a2",12,"chr12:85758149-85759528",22.8637
,"Lin52",12,"chr12:85792457-85872483",3.23376
,"Vsx2",12,"chr12:85910801-85936407",0.010336
,"Abcd4",12,"chr12:85943480-85958416",5.43495
,"Vrtn",12,"chr12:85981968-85992405",0
,"Tmem90a",12,"chr12:86018227-86039757",0.261324
,"Npc2",12,"chr12:86095508-86114062",68.301
,"Isca2",12,"chr12:86114219-86116039",43.1502
,"Ltbp2",12,"chr12:86124161-86217445",3.36261
,"D030025P21Rik",12,"chr12:86216751-86220705",0.042334
,"1110018G07Rik",12,"chr12:86259098-86311836",18.7606
,"Fcf1",12,"chr12:86311879-86324253",23.9465
,"Ylpm1",12,"chr12:86337270-86411465",7.45111
,"Prox2",12,"chr12:86427763-86447381",1.54531
,"Dlst",12,"chr12:86451782-86475041",51.6751
,"Rps6kl1",12,"chr12:86476545-86492214",0.844804
,"Pgf",12,"chr12:86507590-86518235",0.799541
,"Eif2b2",12,"chr12:86560462-86567578",23.8376
,"Mlh3",12,"chr12:86575469-86611514",3.38938
,"Acyp1",12,"chr12:86613347-86621385",23.0077
,"Fam164c",12,"chr12:86629540-86640308",0.589692
,"Nek9",12,"chr12:86640463-86680312",20.8811
,"Tmed10",12,"chr12:86681563-86715667",20.5757
,"Fos",12,"chr12:86814850-86818219",3.24774
,"Jdp2",12,"chr12:86940054-86980828",8.74194
,"Batf",12,"chr12:87027669-87050037",33.2135
,"Mfsd7c",12,"chr12:87087488-87154535",0.347505
,"0610007P14Rik",12,"chr12:87156404-87165495",41.5691
,"Ttll5",12,"chr12:87165899-87394710",1.77149
,"Tgfb3",12,"chr12:87397692-87419991",2.87691
,"1700019E19Rik",12,"chr12:87423510-87503409",6.010948
,"Gm805",12,"chr12:87510290-87536052",0
,"1700020O03Rik",12,"chr12:87582827-87632318",11.0424
,"Esrrb",12,"chr12:87702066-87862578",0.00385
,"Vash1",12,"chr12:88019649-88036631",1.01273
,"Angel1",12,"chr12:88041451-88067410",3.47623
,"Gm6772",12,"chr12:88075318-88104745",0.008811
,"6430527G18Rik",12,"chr12:88221652-88225764",8.43089
,"2310044G17Rik",12,"chr12:88287992-88306314",12.36619
,"Zdhhc22",12,"chr12:88324330-88329626",0
,"Tmem63c",12,"chr12:88367513-88430989",0.147464
,"Ngb",12,"chr12:88438480-88443489",0.381034
,"Pomt2",12,"chr12:88447815-88488852",2.81296
,"Gstz1",12,"chr12:88488114-88505673",15.674241
,"Tmed8",12,"chr12:88507191-88541179",17.9252
,"4933437F05Rik",12,"chr12:88562072-88579551",3.30798
,"Vipar",12,"chr12:88579824-88607236",20.38977
,"Ahsa1",12,"chr12:88607677-88614902",65.0657
,"Sptlc2",12,"chr12:88648838-88729180",14.3631
,"Alkbh1",12,"chr12:88769027-88784789",18.5416
,"Nrp",12,"chr12:88783797-88784967",2.49035
,"Snw1",12,"chr12:88790859-88813249",50.909
,"1810035L17Rik",12,"chr12:88784845-88790874",105.309
,"Mir3068",12,"chr12:88778628-88778707",85.9326
,"Gm8300",12,"chr12:88855265-88859215",0
,"Oog1",12,"chr12:88943637-88949795",0
,"BB287469",12,"chr12:88959817-88963905",0
,"Gm4027",12,"chr12:88959858-88963093",0
,"Gm16381",12,"chr12:88985074-88989933",0
,"BB287469",12,"chr12:89055024-89059124",0
,"Gm16381",12,"chr12:89080291-89085164",0
,"Gm1995",12,"chr12:89099797-89104138",0.078082
,"Gm2016",12,"chr12:89112519-89116307",0
,"Gm2022",12,"chr12:89131277-89135166",0
,"Oog1",12,"chr12:89192946-89199120",0
,"Gm10436",12,"chr12:89414032-89420338",0
,"Gm5662",12,"chr12:89509079-89512941",0
,"Gm7104",12,"chr12:89521310-89525514",0.107674
,"Gm5039",12,"chr12:89558565-89560206",0
,"Adck1",12,"chr12:89599244-89700162",5.91308
,"3200001D21Rik",12,"chr12:89603757-89615767",0.118341
,"Nrxn3",12,"chr12:89961319-91573373",0.007312
,"Dio2",12,"chr12:91962991-91976878",0.156276
,"4930534B04Rik",12,"chr12:92236931-92622849",4.13057
,"5430427M07Rik",12,"chr12:92284287-92295075",0
,"Bc1",12,"chr12:92439828-92786285",0
,"Tshr",12,"chr12:92639432-92778949",0.116077
,"Gtf2a1",12,"chr12:92793701-92828927",8.397337
,"Ston2",12,"chr12:92871448-93024876",0.892125
,"Sel1l",12,"chr12:93044482-93087597",17.71453
,"Flrt2",12,"chr12:96930435-97023423",2.3948
,"1700019M22Rik",12,"chr12:97284828-97285432",0
,"Galc",12,"chr12:99440509-99497547",2.97077
,"Gpr65",12,"chr12:99506866-99514842",38.9049
,"Kcnk10",12,"chr12:99672203-99816150",0.382966
,"Spata7",12,"chr12:99866393-99908024",2.13736
,"Ptpn21",12,"chr12:99914950-99975615",2.41266
,"Zc3h14",12,"chr12:99985177-100025984",17.099263
,"Eml5",12,"chr12:100024813-100139694",2.88378
,"Ttc8",12,"chr12:100158783-100221448",1.801163
,"4930474N09Rik",12,"chr12:100399486-100401018",0.031615
,"Foxn3",12,"chr12:100433303-100688284",6.6957
,"1700064M15Rik",12,"chr12:100864262-100866184",0.069561
,"2610021K21Rik",12,"chr12:100955740-101121652",0.799704
,"Tdp1",12,"chr12:101122724-101193426",6.98591
,"Kcnk13",12,"chr12:101202708-101300892",3.192213
,"Psmc1",12,"chr12:101350540-101361574",42.4956
,"BC002230",12,"chr12:101363661-101397863",6.74684
,"Gm10433",12,"chr12:101426177-101431748",0.44102
,"Calm1",12,"chr12:101437750-101448016",222.923
,"Gm10432",12,"chr12:101514818-101539118",0.107011
,"Ttc7b",12,"chr12:101538979-101759032",5.8905
,"Rps6ka5",12,"chr12:101787987-101963238",5.82783
,"9030617O03Rik",12,"chr12:102017332-102110820",4.30138
,"Gpr68",12,"chr12:102114891-102146408",5.93979
,"Ccdc88c",12,"chr12:102150909-102267193",14.6435
,"Mir1190",12,"chr12:102259882-102260003",6.42892
,"Smek1",12,"chr12:102277618-102321912",27.6841
,"D130020L05Rik",12,"chr12:102320660-102327137",0.426112
,"Kif4-ps",12,"chr12:102383818-102387483",0.008888
,"Catsperb",12,"chr12:102642882-102864219",0.00438
,"Tc2n",12,"chr12:102886811-102956712",0.517454
,"Fbln5",12,"chr12:102984774-103057265",13.0671
,"Trip11",12,"chr12:103075581-103151381",5.79731
,"Atxn3",12,"chr12:103157110-103196453",13.170549
,"Cpsf2",12,"chr12:103214183-103244203",21.0958
,"Slc24a4",12,"chr12:103367628-103504959",0.024432
,"Rin3",12,"chr12:103521283-103629064",22.27074
,"Lgmn",12,"chr12:103632307-103677907",83.7858
,"Golga5",12,"chr12:103707343-103736117",29.34447
,"Chga",12,"chr12:103793178-103803237",2.5563
,"Itpk1",12,"chr12:103806792-103943079",10.5196
,"Mir1936",12,"chr12:103923137-103923230",0
,"Moap1",12,"chr12:103978039-103981871",0.954371
,"Gm20604",12,"chr12:103978039-103996020",3.0799
,"AK010878",12,"chr12:103991484-103996020",11.7394
,"D230037D09Rik",12,"chr12:103981969-103983607",26.51
,"Ubr7",12,"chr12:103996184-104015911",19.3327
,"Btbd7",12,"chr12:104022857-104116616",5.19737
,"Cox8c",12,"chr12:104137515-104138744",0.056278
,"Unc79",12,"chr12:104187068-104422207",0.085215
,"Prima1",12,"chr12:104435117-104480356",0.065719
,"Fam181a",12,"chr12:104553168-104555275",0
,"Asb2",12,"chr12:104559351-104594211",15.7993
,"Otub2",12,"chr12:104615103-104644560",5.064936
,"Ddx24",12,"chr12:104646185-104664077",25.962732
,"Ifi27l1",12,"chr12:104672398-104678455",93.743884
,"Ifi27l2a",12,"chr12:104680376-104681890",518.728
,"Ifi27l2b",12,"chr12:104689107-104695433",0.051843
,"Ppp4r4",12,"chr12:104770774-104852042",0.552643
,"Serpina10",12,"chr12:104854884-104869615",5.85151
,"Serpina6",12,"chr12:104884841-104895281",0
,"Serpina1f",12,"chr12:104926253-104933739",0
,"Serpina1b",12,"chr12:104966365-104976399",3.03364
,"Serpina1d",12,"chr12:105001796-105011843",0.645582
,"Serpina1a",12,"chr12:105091504-105101829",0.050569
,"Serpina1c",12,"chr12:105133135-105143160",0.69289
,"Serpina1e",12,"chr12:105185141-105195107",1.66966
,"Serpina11",12,"chr12:105218452-105228167",0.452421
,"Serpina9",12,"chr12:105234829-105251862",0.051587
,"Serpina12",12,"chr12:105266978-105282653",0.145605
,"Serpina4-ps1",12,"chr12:105316168-105325130",0
,"Serpina5",12,"chr12:105339322-105344347",0.015706
,"Serpina3a",12,"chr12:105350933-105360106",0.009262
,"Serpina3b",12,"chr12:105366205-105377755",0.197759
,"Serpina3c",12,"chr12:105385116-105392082",0.444838
,"Serpina3f",12,"chr12:105452753-105459339",4.961843
,"Serpina3g",12,"chr12:105452753-105480144",45.3346
,"Serpina3h",12,"chr12:105486105-105492615",1.23205
,"Serpina3i",12,"chr12:105501331-105507575",7.1123
,"Serpina3j",12,"chr12:105552779-105558796",0.017131
,"Serpina3k",12,"chr12:105576695-105583949",0.042465
,"Serpina3m",12,"chr12:105625373-105632467",0.243001
,"Serpina3n",12,"chr12:105644917-105652539",16.5775
,"Gsc",12,"chr12:105709418-105711446",0.01584
,"Dicer1",12,"chr12:105925951-105990162",11.2626
,"Clmn",12,"chr12:106001323-106103286",0.986624
,"4831426I19Rik",12,"chr12:106168158-106248019",3.85397
,"Snhg10",12,"chr12:106268826-106270489",7.82528
,"Mir3069",12,"chr12:106269286-106269351",150.782
,"Scarna13",12,"chr12:106269286-106269559",11.7078
,"Glrx5",12,"chr12:106270898-106279120",37.0821
,"Tcl1b2",12,"chr12:106385242-106393435",0.038162
,"Tcl1b1",12,"chr12:106397913-106404835",0
,"Tcl1b5",12,"chr12:106414567-106419355",0
,"Tcl1b3",12,"chr12:106429254-106433609",0
,"Tcl1b4",12,"chr12:106440631-106445203",0
,"Tcl1",12,"chr12:106454964-106460947",0
,"2810011L19Rik",12,"chr12:106574803-106622142",0
,"Gm2721",12,"chr12:106633065-106641970",0
,"D430019H16Rik",12,"chr12:106692065-106731305",0.989374
,"Bdkrb2",12,"chr12:106801381-106831281",0.114566
,"Bdkrb1",12,"chr12:106842300-106843638",0.230388
,"Atg2b",12,"chr12:106851748-106923451",4.97717
,"4933433P14Rik",12,"chr12:106923561-106941267",10.5604
,"Ak7",12,"chr12:106944191-107020657",0.319416
,"Papola",12,"chr12:107022911-107077153",52.7447
,"Vrk1",12,"chr12:107248472-107315620",15.82579
,"1700121N20Rik",12,"chr12:107680861-107685876",0
,"4933406K04Rik",12,"chr12:107923816-107954534",0
,"4930465M20Rik",12,"chr12:108961952-108973698",0
,"Bcl11b",12,"chr12:109148612-109241624",4.30794
,"Setd3",12,"chr12:109344640-109417494",12.4934
,"Ccnk",12,"chr12:109417947-109441569",11.3185
,"Ccdc85c",12,"chr12:109444554-109513627",0.27469
,"Hhipl1",12,"chr12:109544479-109566510",0.435539
,"Cyp46a1",12,"chr12:109572590-109600444",1.33355
,"Eml1",12,"chr12:109648864-109777774",4.27937
,"Gm16596",12,"chr12:109774611-109793828",0.426643
,"Evl",12,"chr12:109792929-109926725",78.81751
,"Degs2",12,"chr12:109925001-109940516",20.699228
,"Yy1",12,"chr12:110031520-110054842",25.2998
,"Slc25a29",12,"chr12:110064087-110074086",1.7559
,"Mir345",12,"chr12:110075182-110075278",0
,"Slc25a47",12,"chr12:110089338-110095025",0.770814
,"Wars",12,"chr12:110098239-110132384",15.6798
,"Wdr25",12,"chr12:110132481-110266662",2.59548
,"Begain",12,"chr12:110270391-110306427",1.20185
,"Dlk1",12,"chr12:110691032-110701546",0.00799
,"Meg3",12,"chr12:110779205-110809939",1.632921
,"Mir1906-1",12,"chr12:110782750-110782830",0
,"Mir770",12,"chr12:110801901-110801995",0
,"Mir673",12,"chr12:110810199-110810290",0
,"Mir493",12,"chr12:110818442-110818525",0
,"Mir337",12,"chr12:110823998-110824095",0
,"Mir540",12,"chr12:110824289-110824356",0
,"Mir665",12,"chr12:110824523-110824617",0
,"Mir3070a",12,"chr12:110826152-110826241",0
,"Mir3070b",12,"chr12:110826801-110826890",0
,"Rtl1",12,"chr12:110828378-110833613",0
,"Mir3071",12,"chr12:110833527-110833607",0
,"Mir431",12,"chr12:110828656-110828747",0
,"6430411K18Rik",12,"chr12:110829746-110831063",0.013808
,"Mir433",12,"chr12:110829924-110830048",0
,"Mir127",12,"chr12:110831055-110831125",0
,"Mir434",12,"chr12:110832715-110832809",0
,"Mir432",12,"chr12:110833165-110833240",0
,"Mir136",12,"chr12:110833536-110833598",0
,"Rian",12,"chr12:110842154-110899921",0.291669
,"Mir341",12,"chr12:110849709-110849805",0
,"Mir1188",12,"chr12:110850031-110850151",0
,"Mir370",12,"chr12:110856467-110856546",0
,"AF357425",12,"chr12:110874221-110874290",0
,"AF357426",12,"chr12:110881047-110881114",0
,"LOC100861570",12,"chr12:110887826-110887897",0
,"AF357359",12,"chr12:110888918-110888948",0
,"LOC100861571",12,"chr12:110889633-110889705",0
,"AF357355",12,"chr12:110892836-110892907",0
,"LOC100861572",12,"chr12:110894554-110894625",0
,"Mir882",12,"chr12:110920406-110920483",0
,"Mir379",12,"chr12:110947269-110947335",0
,"Mir411",12,"chr12:110948384-110948466",0
,"Mir299",12,"chr12:110948847-110948910",0
,"Mir380",12,"chr12:110950012-110950073",0
,"Mir1197",12,"chr12:110950526-110950646",0
,"Mir323",12,"chr12:110950717-110950803",0
,"Mir758",12,"chr12:110951019-110951100",0
,"Mir329",12,"chr12:110951690-110951787",0
,"Mir494",12,"chr12:110953527-110953612",0
,"Mir679",12,"chr12:110953786-110953860",0
,"Mir1193",12,"chr12:110953880-110954001",0
,"Mir666",12,"chr12:110955294-110955393",0
,"Mir543",12,"chr12:110955467-110955543",0
,"Mir495",12,"chr12:110956963-110957026",0
,"Mir667",12,"chr12:110958215-110958307",0
,"Mir376c",12,"chr12:110960927-110961012",0
,"Mir654",12,"chr12:110961427-110961511",0
,"Mir376b",12,"chr12:110961667-110961749",0
,"Mir376a",12,"chr12:110961990-110962058",0
,"Mir300",12,"chr12:110962522-110962601",0
,"Mir381",12,"chr12:110965031-110965106",0
,"Mir487b",12,"chr12:110965542-110965624",0
,"Mir539",12,"chr12:110966338-110966412",0
,"Mir382",12,"chr12:110971980-110972056",0
,"Mir134",12,"chr12:110972348-110972419",0
,"Mir668",12,"chr12:110972941-110973007",0
,"Mir485",12,"chr12:110973111-110973184",0
,"Mirg",12,"chr12:110973190-110987667",0.070171
,"Mir412",12,"chr12:110981498-110981578",0
,"Mir369",12,"chr12:110981627-110981706",0
,"Mir410",12,"chr12:110981924-110982005",0
,"Mir453",12,"chr12:110973828-110973910",0
,"Mir154",12,"chr12:110976642-110976708",0
,"Mir496",12,"chr12:110977328-110977407",0
,"Mir377",12,"chr12:110978719-110978787",0
,"Mir541",12,"chr12:110980618-110980708",0
,"Mir409",12,"chr12:110981367-110981446",0
,"Mir3072",12,"chr12:110986087-110986170",0
,"3110009F21Rik",12,"chr12:111389863-111396283",0
,"Dio3os",12,"chr12:111513594-111516278",0.17154
,"Mir1247",12,"chr12:111516257-111516339",0
,"Dio3",12,"chr12:111517439-111519307",0.046197
,"Ppp2r5c",12,"chr12:111685388-111821271",49.2289
,"B930059L03Rik",12,"chr12:111829583-111830889",1.46425
,"Dync1h1",12,"chr12:111839604-111905154",16.6065
,"1700001K19Rik",12,"chr12:111905898-111920829",0.163823
,"Hsp90aa1",12,"chr12:111929245-111934605",11.299
,"Wdr20a",12,"chr12:111976158-112033238",7.99664
,"Stk30",12,"chr12:112046007-112079149",0.381997
,"Zfp839",12,"chr12:112088488-112108208",4.31547
,"Cinp",12,"chr12:112110819-112127355",13.15916
,"Tecpr2",12,"chr12:112127473-112210604",2.45516
,"Ankrd9",12,"chr12:112213562-112217231",0.927655
,"6030440G07Rik",12,"chr12:112232607-112252082",0
,"Rcor1",12,"chr12:112278008-112351597",8.61773
,"Traf3",12,"chr12:112404758-112505359",11.45986
,"Amn",12,"chr12:112509321-112514637",0.186839
,"Cdc42bpb",12,"chr12:112531182-112615929",4.2912
,"A230065H16Rik",12,"chr12:112645019-112650288",2.50578
,"1200009I06Rik",12,"chr12:112655640-112669394",4.94924
,"Tnfaip2",12,"chr12:112680871-112693229",6.3836
,"Gm266",12,"chr12:112722819-112724034",0.638345
,"Eif5",12,"chr12:112776311-112784964",59.805226
,"Snora28",12,"chr12:112779156-112779277",289.301
,"2810029C07Rik",12,"chr12:112810527-112812613",0.535928
,"Mark3",12,"chr12:112812720-112894438",24.9689
,"Ckb",12,"chr12:112907565-112910549",11.7751
,"Trmt61a",12,"chr12:112916315-112922113",10.786235
,"Bag5",12,"chr12:112947703-112951467",20.358
,"2810002N01Rik",12,"chr12:112951479-112993266",19.50446
,"Klc1",12,"chr12:112997059-113044986",26.758005
,"Xrcc3",12,"chr12:113041403-113052052",5.67127
,"Zfyve21",12,"chr12:113052380-113066599",9.29567
,"Ppp1r13b",12,"chr12:113066668-113146266",7.84196
,"5033406O09Rik",12,"chr12:113180201-113182693",1.29034
,"2010107E04Rik",12,"chr12:113199586-113205188",489.534
,"Tdrd9",12,"chr12:113209769-113307065",0.641363
,"BC048943",12,"chr12:113217533-113218962",0.027555
,"Aspg",12,"chr12:113344893-113365784",0.170335
,"Mir3073",12,"chr12:113347448-113347533",0
,"Mir203",12,"chr12:113369090-113369166",0
,"Kif26a",12,"chr12:113384418-113419958",0.313916
,"A730018C14Rik",12,"chr12:113649233-113661409",0
,"B020018J22Rik",12,"chr12:113666494-113673549",0
,"A530016L24Rik",12,"chr12:113727658-113738138",1.03071
,"Tmem179",12,"chr12:113738394-113749371",0.099255
,"Inf2",12,"chr12:113826994-113853768",9.51216
,"Adssl1",12,"chr12:113858257-113879566",4.66926
,"Siva1",12,"chr12:113883038-113887363",16.10518
,"Akt1",12,"chr12:113892031-113912487",40.12926
,"Zbtb42",12,"chr12:113917050-113920958",1.59257
,"AW555464",12,"chr12:113960384-113984802",1.26687
,"Pld4",12,"chr12:113998865-114007197",133.54
,"BC022687",12,"chr12:114047185-114054456",0.835679
,"Cdca4",12,"chr12:114058445-114067600",22.688
,"Gpr132",12,"chr12:114089086-114099127",34.5946
,"Jag2",12,"chr12:114146800-114167706",0.906925
,"Nudt14",12,"chr12:114172943-114180329",29.4239
,"Brf1",12,"chr12:114198072-114238832",29.8535
,"Btbd6",12,"chr12:114214692-114217151",7.74094
,"Pacs2",12,"chr12:114252718-114312612",9.40901
,"Tex22",12,"chr12:114312712-114327125",0.144562
,"Mta1",12,"chr12:114336488-114375417",13.4887
,"Crip2",12,"chr12:114378446-114383717",18.618
,"Crip1",12,"chr12:114390222-114392090",726.819
,"4930427A07Rik",12,"chr12:114394631-114403669",4.43697
,"Tmem121",12,"chr12:114424113-114427733",0.396408
