"gene_id","gene_name","chromosome","count","locus"
,"Pspc1",14,80,"chr14:57341285-57397153"
,"Zmym5",14,735,"chr14:57409421-57430553"
,"Zmym2",14,482,"chr14:57506631-57581416"
,"B020004C17Rik",14,0,"chr14:57633970-57637819"
,"Gja3",14,0,"chr14:57654496-57676782"
,"Gjb2",14,5,"chr14:57717438-57723539"
,"Gjb6",14,0,"chr14:57742139-57752414"
,"Cryl1",14,115,"chr14:57893870-58017320"
,"Ift88",14,57,"chr14:58042907-58136773"
,"Il17d",14,2,"chr14:58143665-58162003"
,"N6amt2",14,221,"chr14:58168434-58190406"
,"Xpo4",14,43,"chr14:58201107-58283793"
,"Lats2",14,597,"chr14:58308498-58364960"
,"Sap18",14,139,"chr14:58417025-58423817"
,"Gm10094",14,0,"chr14:58417054-58421167"
,"Mir3077",14,0,"chr14:58417260-58417324"
,"F630043A04Rik",14,68,"chr14:58425397-58445000"
,"Mrp63",14,245,"chr14:58445075-58447582"
,"Zdhhc20",14,817,"chr14:58451538-58509099"
,"Efha1",14,442,"chr14:58535116-58618099"
,"Fgf9",14,2,"chr14:58691522-58731557"
,"1700129C05Rik",14,0,"chr14:59751876-59761730"
,"Gm5142",14,0,"chr14:59777339-59797586"
,"Rcbtb1",14,441,"chr14:59820064-59856102"
,"Gm6904",14,5,"chr14:59863277-59879053"
,"Phf11",14,0,"chr14:59895749-59916359"
,"Gm4902",14,39,"chr14:59939800-59960167"
,"D14Ertd668e",14,60,"chr14:59966243-59984327"
,"Gm6907",14,117,"chr14:59999669-60012349"
,"Setdb2",14,394,"chr14:60020847-60059714"
,"Cab39l",14,534,"chr14:60059817-60167740"
,"Cdadc1",14,423,"chr14:60178224-60216796"
,"Shisa2",14,93,"chr14:60244117-60250497"
,"Atp8a2",14,4,"chr14:60266577-60705671"
,"Nupl1",14,170,"chr14:60838304-60870215"
,"Mir719",14,0,"chr14:60847642-60847752"
,"Mtmr6",14,1329,"chr14:60884041-60921208"
,"Fam123a",14,0,"chr14:60997122-60999840"
,"Spata13",14,904,"chr14:61253565-61383393"
,"C1qtnf9",14,14,"chr14:61386970-61399706"
,"Mipep",14,163,"chr14:61403402-61524317"
,"Tnfrsf19",14,38,"chr14:61582670-61665692"
,"Sacs",14,9,"chr14:61757293-61859530"
,"Sgcg",14,7,"chr14:61837951-61877327"
,"1700109G14Rik",14,0,"chr14:61911819-61924171"
,"Arl11",14,59,"chr14:61928589-61930773"
,"Ebpl",14,125,"chr14:61958599-61979282"
,"Kpna3",14,205,"chr14:61984022-62058784"
,"4930556J02Rik",14,0,"chr14:62111524-62119219"
,"6330409N04Rik",14,53,"chr14:62153141-62175723"
,"Trim13",14,17.9998,"chr14:62217062-62224782"
,"Dleu2",14,89.0001,"chr14:62221672-62301210"
,"Kcnrg",14,16.0001,"chr14:62226293-62231670"
,"Mir16-1",14,0,"chr14:62250716-62250809"
,"Mir15a",14,0,"chr14:62250863-62250947"
,"Mir1196",14,0,"chr14:62371057-62371175"
,"Dleu7",14,3,"chr14:62895065-62911816"
,"Rnaseh2b",14,181,"chr14:62950941-62991829"
,"Gucy1b2",14,1,"chr14:63011506-63075126"
,"Fam124a",14,40,"chr14:63174573-63227322"
,"Serpine3",14,0,"chr14:63282503-63311080"
,"Ints6",14,82,"chr14:63295164-63379949"
,"4931440J10Rik",14,0,"chr14:63379337-63448963"
,"Wdfy2",14,73,"chr14:63456526-63575723"
,"Defb48",14,0,"chr14:63596360-63603347"
,"Defb47",14,0,"chr14:63616913-63619997"
,"Defb43",14,0,"chr14:63630607-63636925"
,"Defb30",14,0,"chr14:63652923-63656683"
,"Defb42",14,16,"chr14:63665827-63667443"
,"2700070H01Rik",14,0,"chr14:63673909-63676986"
,"Ctsb",14,8075.45,"chr14:63741298-63764760"
,"Fdft1",14,18.5472,"chr14:63763987-63796630"
,"Neil2",14,7,"chr14:63801281-63812362"
,"Gata4",14,1,"chr14:63817751-63864097"
,"Blk",14,2374,"chr14:63991673-64036024"
,"Fam167a",14,225,"chr14:64055230-64084339"
,"Tdh",14,0,"chr14:64111183-64127929"
,"Mtmr9",14,162,"chr14:64142446-64162790"
,"Xkr6",14,0,"chr14:64225366-64439247"
,"Mir598",14,0,"chr14:64346025-64346104"
,"Pinx1",14,140,"chr14:64479148-64538696"
,"Sox7",14,4,"chr14:64562542-64569569"
,"4930578I06Rik",14,0,"chr14:64589958-64606617"
,"Rp1l1",14,3,"chr14:64611267-64652343"
,"Prss55",14,0,"chr14:64694279-64704226"
,"Prss51",14,0,"chr14:64712532-64716509"
,"4930471C04Rik",14,0,"chr14:64718131-64723072"
,"Prss52",14,0,"chr14:64723159-64732588"
,"Msra",14,176,"chr14:64741457-65074740"
,"A930011O12Rik",14,0,"chr14:65206951-65212798"
,"Mir124a-1",14,0,"chr14:65209493-65209578"
,"Mir3078",14,0,"chr14:65210021-65210108"
,"Kif13b",14,60,"chr14:65271367-65425133"
,"Hmbox1",14,36,"chr14:65441054-65568684"
,"Ints9",14,178,"chr14:65568881-65658672"
,"Extl3",14,531,"chr14:65670895-65716943"
,"Fzd3",14,25,"chr14:65811277-65881300"
,"Fbxo16",14,0,"chr14:65885537-65940339"
,"Zfp395",14,124,"chr14:65977512-66017767"
,"Pnoc",14,1,"chr14:66019509-66044309"
,"Elp3",14,403,"chr14:66149282-66211949"
,"Gm600",14,94,"chr14:66224103-66267280"
,"Scara5",14,56,"chr14:66285239-66383663"
,"Pbk",14,15,"chr14:66424747-66436659"
,"Esco2",14,117,"chr14:66437863-66452806"
,"Ccdc25",14,429,"chr14:66456138-66485441"
,"Scara3",14,112,"chr14:66538231-66572581"
,"Clu",14,1903,"chr14:66587319-66600382"
,"Gulo",14,1,"chr14:66605623-66628047"
,"Adam2",14,0,"chr14:66646165-66696570"
,"Ephx2",14,105,"chr14:66703213-66743337"
,"Chrna2",14,18,"chr14:66759796-66771785"
,"Ptk2b",14,1409,"chr14:66772093-66899889"
,"1700001G11Rik",14,16,"chr14:66914165-66915966"
,"Trim35",14,936,"chr14:66915861-66930261"
,"Stmn4",14,0,"chr14:66963211-66980517"
,"Adra1a",14,2,"chr14:67254094-67352166"
,"Dpysl2",14,301,"chr14:67421700-67487437"
,"Gm5464",14,0,"chr14:67487686-67489842"
,"Pnma2",14,0,"chr14:67530044-67538898"
,"Bnip3l",14,707,"chr14:67604076-67627714"
,"Ppp2r2a",14,137,"chr14:67632892-67691308"
,"Ebf2",14,2,"chr14:67852128-68048604"
,"Gm6878",14,0,"chr14:67923724-67933548"
,"4930438E09Rik",14,0,"chr14:67950878-68016579"
,"Cdca2",14,182,"chr14:68294410-68333898"
,"Kctd9",14,256,"chr14:68334154-68360367"
,"Gnrh1",14,15,"chr14:68363285-68367493"
,"Dock5",14,355,"chr14:68369984-68551629"
,"Nefl",14,0,"chr14:68701940-68705794"
,"Nefm",14,0,"chr14:68737601-68743061"
,"A230070E04Rik",14,0,"chr14:68741808-68749428"
,"Adam7",14,0,"chr14:69115393-69151746"
,"Adamdec1",14,631,"chr14:69181443-69200129"
,"Adam28",14,33,"chr14:69224083-69273899"
,"Stc1",14,19,"chr14:69647345-69659458"
,"1700092C10Rik",14,0,"chr14:69782855-69789900"
,"Nkx2-6",14,0,"chr14:69789858-69793597"
,"Nkx3-1",14,0,"chr14:69808748-69812715"
,"Slc25a37",14,1426,"chr14:69859907-69903160"
,"Synb",14,6,"chr14:69908454-69912356"
,"Gm16677",14,1,"chr14:69947763-69955194"
,"Entpd4",14,719,"chr14:69955207-69984799"
,"Loxl2",14,44,"chr14:70009282-70095641"
,"R3hcc1",14,14,"chr14:70097110-70107387"
,"Chmp7",14,87,"chr14:70116785-70132377"
,"Tnfrsf10b",14,8,"chr14:70167278-70184218"
,"Rhobtb2",14,117,"chr14:70184796-70205352"
,"Pebp4",14,0,"chr14:70240226-70459693"
,"Egr3",14,18,"chr14:70477251-70479964"
,"Bin3",14,486,"chr14:70499951-70538013"
,"2610301G19Rik",14,431,"chr14:70537975-70553598"
,"9930012K11Rik",14,55,"chr14:70554211-70559309"
,"Pdlim2",14,312,"chr14:70564024-70577479"
,"Sorbs3",14,144,"chr14:70580274-70607444"
,"Ppp3cc",14,273,"chr14:70617704-70689256"
,"Slc39a14",14,155,"chr14:70703273-70751231"
,"Piwil2",14,15,"chr14:70772286-70828901"
,"Polr3d",14,206,"chr14:70838554-70843278"
,"Mir320",14,0,"chr14:70843316-70843398"
,"Phyhip",14,5,"chr14:70857323-70868631"
,"Bmp1",14,204,"chr14:70874361-70920067"
,"Sftpc",14,0,"chr14:70920748-70923888"
,"Lgi3",14,12,"chr14:70930627-70938131"
,"Reep4",14,122,"chr14:70945057-70948742"
,"Hr",14,18,"chr14:70953862-70973349"
,"Nudt18",14,117,"chr14:70977653-70982378"
,"Fam160b2",14,234,"chr14:70983101-70999642"
,"Epb4.9",14,13,"chr14:71001990-71035855"
,"Fgf17",14,0,"chr14:71036011-71042075"
,"Npm2",14,2,"chr14:71047108-71052891"
,"Xpo7",14,404,"chr14:71054052-71166435"
,"Dok2",14,190,"chr14:71174187-71178301"
,"2410012E07Rik",14,0,"chr14:71252739-71273761"
,"Gfra2",14,61,"chr14:71289936-71379645"
,"Gm4251",14,0,"chr14:71651079-71670866"
,"4930434J06Rik",14,0,"chr14:72256515-72320245"
,"Fndc3a",14,351,"chr14:72937759-73109810"
,"Gm9199",14,10,"chr14:73425409-73426697"
,"Cysltr2",14,31,"chr14:73428934-73448921"
,"Rcbtb2",14,178,"chr14:73542316-73583861"
,"Rb1",14,569,"chr14:73595308-73725598"
,"Mir687",14,0,"chr14:73606569-73606658"
,"Lpar6",14,688,"chr14:73637697-73640165"
,"Itm2b",14,1778,"chr14:73762038-73785078"
,"Med4",14,271,"chr14:73909855-73918352"
,"Nudt15",14,0,"chr14:73919670-73948049"
,"Sucla2",14,290,"chr14:73952592-73995949"
,"4933402J15Rik",14,0,"chr14:74755333-74769548"
,"Htr2a",14,4,"chr14:75040646-75106666"
,"Esd",14,163,"chr14:75132151-75150250"
,"Lrch1",14,336,"chr14:75154479-75347684"
,"Gm4278",14,0,"chr14:75374892-75386911"
,"5031414D18Rik",14,802,"chr14:75415833-75452339"
,"Lrrc63",14,2,"chr14:75484109-75530690"
,"Lcp1",14,4969,"chr14:75530929-75630649"
,"Cpb2",14,0,"chr14:75642093-75683360"
,"Zc3h13",14,427,"chr14:75684179-75744233"
,"Siah3",14,3,"chr14:75855788-75925948"
,"Spert",14,0,"chr14:75982640-75992923"
,"4930564B18Rik",14,0,"chr14:76042065-76066944"
,"Cog3",14,828,"chr14:76102157-76154300"
,"Slc25a30",14,119,"chr14:76161805-76186844"
,"Gm4285",14,55,"chr14:76242724-76244771"
,"Tpt1",14,0,"chr14:76245062-76248110"
,"Snora31",14,0,"chr14:76247729-76247841"
,"Gtf2f2",14,284,"chr14:76296743-76410672"
,"Kctd4",14,0,"chr14:76354809-76365024"
,"1200011I18Rik",14,692,"chr14:76486038-76510622"
,"Nufip1",14,151,"chr14:76510697-76537186"
,"Tsc22d1",14,492,"chr14:76815627-76907573"
,"4930444M15Rik",14,0,"chr14:76914364-76920662"
,"Serp2",14,5,"chr14:76932618-76956696"
,"1700108F19Rik",14,3,"chr14:77077374-77086915"
,"9030625A04Rik",14,240,"chr14:77424007-77436424"
,"Ccdc122",14,67,"chr14:77436578-77512011"
,"Enox1",14,2,"chr14:77556569-78121570"
,"Gm6994",14,0,"chr14:77879289-77906675"
,"Gm1587",14,0,"chr14:78193751-78198775"
,"Dnajc15",14,143,"chr14:78226023-78274724"
,"Epsti1",14,1175,"chr14:78304045-78402463"
,"AU021034",14,0,"chr14:78480830-78488814"
,"Mir1971",14,0,"chr14:78591179-78591285"
,"Tnfsf11",14,41,"chr14:78677252-78707850"
,"Akap11",14,821,"chr14:78892052-78936667"
,"Dgkh",14,12,"chr14:78969415-79124896"
,"1300010F03Rik",14,275,"chr14:79248984-79602117"
,"Zfp957",14,1,"chr14:79612161-79647174"
,"1190002H23Rik",14,120,"chr14:79688556-79701442"
,"Naa16",14,203,"chr14:79734313-79790475"
,"Mtrf1",14,105,"chr14:79797578-79823457"
,"Kbtbd7",14,125,"chr14:79826317-79830845"
,"Gm5465",14,17,"chr14:79851641-79854623"
,"Wbp4",14,583,"chr14:79859743-79881075"
,"Elf1",14,1295,"chr14:79881000-79982283"
,"Sugt1",14,517,"chr14:79987497-80029562"
,"Lect1",14,0,"chr14:80037496-80061977"
,"4930452G13Rik",14,0,"chr14:80102726-80112737"
,"Mir759",14,0,"chr14:80138237-80138335"
,"Pcdh8",14,0,"chr14:80166578-80171119"
,"Gm10845",14,0,"chr14:80260327-80268983"
,"Olfm4",14,1,"chr14:80400108-80421737"
,"Pcdh17",14,94,"chr14:84843369-84936867"
,"9630013A20Rik",14,0,"chr14:84858644-84876231"
,"4930529K09Rik",14,0,"chr14:86645776-86661849"
,"Diap3",14,43,"chr14:87056129-87540921"
,"Tdrd3",14,337,"chr14:87816389-87945315"
,"Pcdh20",14,5,"chr14:88864553-88871203"
,"Gm5088",14,0,"chr14:90296030-90299254"
,"4930474H20Rik",14,0,"chr14:90526697-90669567"
,"Pcdh9",14,5,"chr14:93412919-94287951"
,"4921530L21Rik",14,0,"chr14:96280484-96281994"
,"Klhl1",14,0,"chr14:96504483-96918253"
,"Dach1",14,9,"chr14:98186065-98568762"
,"Mzt1",14,265,"chr14:99433762-99445355"
,"6720463M24Rik",14,202,"chr14:99445595-99473326"
,"Dis3",14,252.396,"chr14:99475852-99498989"
,"Pibf1",14,123.604,"chr14:99498651-99653712"
,"Klf5",14,0,"chr14:99697909-99712628"
,"Klf12",14,59,"chr14:100269861-100549015"
,"1700110M21Rik",14,0,"chr14:101596906-101599286"
,"Tbc1d4",14,1172,"chr14:101841576-102008408"
,"Commd6",14,166,"chr14:102032982-102039688"
,"Uchl3",14,97,"chr14:102053183-102095342"
,"Lmo7",14,37,"chr14:102129144-102333910"
,"Kctd12",14,2085,"chr14:103375797-103381854"
,"Mir5130",14,0,"chr14:103381765-103381849"
,"4933432I03Rik",14,4,"chr14:103386628-103433020"
,"Irg1",14,7,"chr14:103446228-103455790"
,"Cln5",14,547,"chr14:103469432-103476847"
,"Fbxl3",14,705,"chr14:103479455-103498726"
,"Mycbp2",14,3184,"chr14:103512627-103746017"
,"Scel",14,26,"chr14:103912557-104012563"
,"Slain1",14,182.449,"chr14:104049459-104104016"
,"4921525B02Rik",14,13.5514,"chr14:104092199-104098649"
,"Ednrb",14,101,"chr14:104213841-104243390"
,"4930432J09Rik",14,0,"chr14:104376844-104426359"
,"Pou4f1",14,2,"chr14:104861540-104867216"
,"Rnf219",14,179,"chr14:104876750-104921883"
,"D130009I18Rik",14,0,"chr14:105038363-105366000"
,"Gm17066",14,403,"chr14:105505944-105513893"
,"Rbm26",14,186,"chr14:105513735-105576544"
,"Ndfip2",14,324,"chr14:105657889-105708515"
,"5430440P10Rik",14,0,"chr14:105826775-105836933"
,"4930449E01Rik",14,0,"chr14:105898004-105904845"
,"Spry2",14,47,"chr14:106291163-106296036"
,"Trim52",14,0,"chr14:106505414-106508497"
,"1700128A07Rik",14,0,"chr14:106816403-106885701"
,"Slitrk1",14,0,"chr14:109309205-109313456"
,"Slitrk6",14,9,"chr14:111147799-111154371"
,"Slitrk5",14,1,"chr14:112074336-112082357"
,"4930524C18Rik",14,0,"chr14:115231186-115260549"
,"Mir17",14,0,"chr14:115442892-115442976"
,"Mir18",14,0,"chr14:115443072-115443168"
,"Mir19a",14,0,"chr14:115443221-115443303"
,"Mir20a",14,0,"chr14:115443378-115443485"
,"Mir19b-1",14,0,"chr14:115443526-115443613"
,"Mir17hg",14,571,"chr14:115443611-115445950"
,"Mir92-1",14,0,"chr14:115443648-115443728"
,"Gpc5",14,0,"chr14:115491436-116924414"
,"4930505G20Rik",14,0,"chr14:115795772-115808774"
,"Gpc6",14,33,"chr14:117324536-118378751"
,"Dct",14,0,"chr14:118412011-118451468"
,"Tgds",14,320,"chr14:118511132-118531987"
,"Gpr180",14,228,"chr14:118536348-118563454"
,"Sox21",14,0,"chr14:118632455-118636252"
,"Gm9376",14,0,"chr14:118666379-118666992"
,"1700044C05Rik",14,0,"chr14:118765099-118797387"
,"Abcc4",14,180,"chr14:118881913-119105441"
,"Cldn10",14,49,"chr14:119187092-119273747"
,"Dzip1",14,168,"chr14:119274741-119322389"
,"Dnajc3",14,1555,"chr14:119337153-119380924"
,"Uggt2",14,34,"chr14:119384206-119498656"
,"Hs6st3",14,0,"chr14:119537486-120269037"
,"1700006F04Rik",14,0,"chr14:120148448-120150786"
,"Oxgr1",14,0,"chr14:120418806-120441657"
,"Mbnl2",14,341,"chr14:120674890-120830920"
,"Rap2a",14,152,"chr14:120877682-120906414"
,"Ipo5",14,718,"chr14:121310415-121347266"
,"Farp1",14,60,"chr14:121434795-121682948"
,"Stk24",14,534,"chr14:121685562-121778452"
,"Slc15a1",14,0,"chr14:121858842-121904476"
,"Dock9",14,247,"chr14:121941260-122196956"
,"Ubac2",14,168,"chr14:122277827-122420257"
,"Gpr18",14,936,"chr14:122310655-122314996"
,"Gpr183",14,767,"chr14:122351552-122364415"
,"Timm8a2",14,4,"chr14:122433895-122437644"
,"A330035P11Rik",14,21,"chr14:122497160-122506196"
,"Tm9sf2",14,601,"chr14:122506303-122558825"
,"Clybl",14,57,"chr14:122580915-122801456"
,"1700108J01Rik",14,1,"chr14:122629126-122632860"
,"Gm5089",14,0,"chr14:122764900-122850368"
,"Zic5",14,0,"chr14:122858381-122864880"
,"2610035F20Rik",14,0,"chr14:122869598-122874421"
,"Zic2",14,0,"chr14:122874605-122879550"
,"Pcca",14,67,"chr14:122933549-123289166"
,"A2ld1",14,143,"chr14:123290081-123312387"
,"Tmtc4",14,54,"chr14:123318196-123382483"
,"AA536875",14,0,"chr14:123567724-123575398"
,"Nalcn",14,3,"chr14:123675862-124026366"
,"Itgbl1",14,18,"chr14:124059361-124373301"
,"Fgf14",14,7,"chr14:124377512-125076349"
,"1700024B18Rik",14,0,"chr14:124386856-124414906"
,"Sepp1",15,3280,"chr15:3220766-3230508"
,"Ccdc152",15,7,"chr15:3230626-3253526"
,"Ghr",15,112,"chr15:3267759-3533230"
,"Fbxo4",15,168,"chr15:3913563-3929573"
,"AW549877",15,1910,"chr15:3932034-3945752"
,"A630020A06",15,4,"chr15:3946038-3965858"
,"BC037032",15,12.2305,"chr15:3970110-3977406"
,"Oxct1",15,975.769,"chr15:3976427-4105344"
,"Plcxd3",15,1,"chr15:4325490-4525579"
,"C6",15,22,"chr15:4677209-4754045"
,"Heatr7b2",15,0,"chr15:4848736-4912201"
,"C7",15,15,"chr15:4938761-5013773"
,"Card6",15,731,"chr15:5047438-5058533"
,"Rpl37",15,4,"chr15:5066612-5069140"
,"Snord72",15,0,"chr15:5068420-5068480"
,"Prkaa1",15,503,"chr15:5093860-5131899"
,"Ttc33",15,257,"chr15:5135559-5168332"
,"Ptger4",15,228,"chr15:5183403-5193831"
,"5430437J10Rik",15,32,"chr15:5446317-5544983"
,"Dab2",15,151,"chr15:6249788-6390709"
,"C9",15,0,"chr15:6395332-6448476"
,"Fyb",15,622,"chr15:6529870-6613312"
,"Rictor",15,862,"chr15:6658380-6750400"
,"Osmr",15,381,"chr15:6763576-6824313"
,"Lifr",15,1187,"chr15:7079571-7147489"
,"Egflam",15,87,"chr15:7156119-7348304"
,"Gdnf",15,2,"chr15:7761010-7787575"
,"Wdr70",15,79,"chr15:7823054-8049209"
,"Nup155",15,408,"chr15:8059312-8109859"
,"2410089E03Rik",15,146,"chr15:8119105-8221158"
,"Nipbl",15,716,"chr15:8241224-8394463"
,"Slc1a3",15,164,"chr15:8584123-8660807"
,"Ranbp3l",15,3,"chr15:8918118-8997082"
,"1110020G09Rik",15,194,"chr15:9001008-9040244"
,"Skp2",15,187,"chr15:9041741-9070207"
,"Lmbrd2",15,75,"chr15:9070325-9127206"
,"Ugt3a1",15,0,"chr15:9209583-9244791"
,"Ugt3a2",15,0,"chr15:9265352-9300625"
,"Capsl",15,6,"chr15:9365782-9395790"
,"Il7r",15,1482,"chr15:9435913-9459631"
,"Spef2",15,15,"chr15:9592490-9678561"
,"Prlr",15,39,"chr15:10106992-10278935"
,"Agxt2",15,0,"chr15:10288333-10339493"
,"Dnajc21",15,202,"chr15:10376517-10400271"
,"Brix1",15,573,"chr15:10404533-10415692"
,"Rad1",15,177,"chr15:10415788-10423446"
,"Ttc23l",15,0,"chr15:10433701-10488423"
,"Rai14",15,805.999,"chr15:10498732-10644386"
,"Gm10389",15,2.00084,"chr15:10530047-10541406"
,"4930556M19Rik",15,22,"chr15:10644590-10719878"
,"Gm19276",15,1,"chr15:10758805-10762468"
,"C1qtnf3",15,2,"chr15:10882086-10909917"
,"Amacr",15,69,"chr15:10911510-10926379"
,"Slc45a2",15,0,"chr15:10930475-10958988"
,"Rxfp3",15,0,"chr15:10963471-10967723"
,"Adamts12",15,4,"chr15:10994544-11276622"
,"Tars",15,548,"chr15:11313417-11329413"
,"Npr3",15,24,"chr15:11769651-11835429"
,"1700047G03Rik",15,0,"chr15:11896816-11899838"
,"Sub1",15,47,"chr15:11911093-11925762"
,"Zfr",15,463,"chr15:12047605-12115205"
,"Mir1898",15,0,"chr15:12101246-12101329"
,"Mtmr12",15,375,"chr15:12134848-12201995"
,"Golph3",15,573,"chr15:12251250-12281022"
,"Pdzd2",15,164,"chr15:12286808-12522311"
,"6030458C11Rik",15,452,"chr15:12737931-12754412"
,"Drosha",15,258,"chr15:12754569-12865046"
,"Cdh6",15,1,"chr15:12963954-13103394"
,"Cdh9",15,0,"chr15:16707855-16786532"
,"4921515E04Rik",15,0,"chr15:18007891-18299382"
,"Cdh10",15,1,"chr15:18750083-18943989"
,"Acot10",15,98,"chr15:20594968-20596505"
,"Cdh12",15,2,"chr15:21041206-21519288"
,"Gm5803",15,0,"chr15:22643574-22644739"
,"Cdh18",15,0,"chr15:22966217-23404173"
,"Basp1",15,98,"chr15:25293031-25343519"
,"Gm5468",15,1,"chr15:25343946-25382173"
,"Myo10",15,180,"chr15:25552304-25743426"
,"Fam134b",15,511,"chr15:25773018-25903442"
,"Zfp622",15,246,"chr15:25914120-25928237"
,"March11",15,0,"chr15:26238826-26339328"
,"Fbxl7",15,33,"chr15:26470213-26825319"
,"Mir297-1",15,0,"chr15:27175876-27246498"
,"Ank",15,16,"chr15:27396431-27524662"
,"Fam105b",15,482,"chr15:27535675-27560448"
,"Fam105a",15,628,"chr15:27584825-27611297"
,"Trio",15,143,"chr15:27660403-27955603"
,"Dnahc5",15,0,"chr15:28133520-28401800"
,"Ctnnd2",15,22,"chr15:30102347-30959098"
,"4930430F21Rik",15,0,"chr15:30968880-30973086"
,"Dap",15,622,"chr15:31154139-31204093"
,"Ankrd33b",15,104,"chr15:31221234-31297514"
,"Ropn1l",15,3,"chr15:31370964-31383444"
,"March6",15,556,"chr15:31385653-31460792"
,"Cmbl",15,97,"chr15:31498666-31519874"
,"Cct5",15,988,"chr15:31520638-31531559"
,"Fam173b",15,176,"chr15:31531870-31547290"
,"Tas2r119",15,0,"chr15:32107043-32108049"
,"0610007N19Rik",15,188,"chr15:32170322-32174417"
,"Snord123",15,0,"chr15:32171599-32171687"
,"Sema5a",15,431,"chr15:32174567-32626096"
,"Sdc2",15,84,"chr15:32850477-32964476"
,"Pgcp",15,258,"chr15:33012883-33524307"
,"4930592A05Rik",15,0,"chr15:33523635-33583191"
,"1700084J12Rik",15,0,"chr15:33334963-33335694"
,"Tspyl5",15,6,"chr15:33613629-33617638"
,"Mtdh",15,508,"chr15:34012473-34072140"
,"Laptm4b",15,41,"chr15:34167780-34214050"
,"Matn2",15,123.272,"chr15:34236435-34365995"
,"9430069I07Rik",15,22.7278,"chr15:34278805-34287627"
,"Gm12191",15,0,"chr15:34370260-34372988"
,"Rpl30",15,0,"chr15:34370262-34373031"
,"BC030476",15,0,"chr15:34383066-34403647"
,"Hrsp12",15,96,"chr15:34413776-34425001"
,"Pop1",15,106,"chr15:34425065-34460408"
,"Nipal2",15,2,"chr15:34502553-34608461"
,"4930413F20Rik",15,0,"chr15:34604827-34608959"
,"Kcns2",15,0,"chr15:34767135-34772092"
,"Stk3",15,91,"chr15:34805253-35085561"
,"Osr2",15,0,"chr15:35225866-35233060"
,"BC048602",15,0,"chr15:35236764-35258290"
,"Vps13b",15,624,"chr15:35301300-35860984"
,"Mir599",15,0,"chr15:35590585-35590673"
,"Mir875",15,0,"chr15:35590724-35590802"
,"Cox6c",15,74,"chr15:35861730-35868001"
,"Rgs22",15,0,"chr15:35939231-36070155"
,"Fbxo43",15,0,"chr15:36079814-36094639"
,"Polr2k",15,33,"chr15:36103771-36106767"
,"Spag1",15,29,"chr15:36109284-36164932"
,"Rnf19a",15,417,"chr15:36169688-36212902"
,"Ankrd46",15,671,"chr15:36407422-36426546"
,"Snx31",15,13,"chr15:36433816-36485327"
,"Pabpc1",15,426,"chr15:36525412-36538728"
,"Ywhaz",15,794,"chr15:36700015-36726684"
,"Zfp706",15,394,"chr15:36926781-36937157"
,"Grhl2",15,0,"chr15:37162790-37293323"
,"Ncald",15,99,"chr15:37295929-37722183"
,"Gm15941",15,0,"chr15:37350887-37362419"
,"4930447A16Rik",15,0,"chr15:37355308-37370399"
,"Rrm2b",15,155,"chr15:37853707-37890810"
,"Ubr5",15,827,"chr15:37897082-38008608"
,"Odf1",15,0,"chr15:38148957-38156490"
,"Klf10",15,142,"chr15:38224167-38230462"
,"Azin1",15,497,"chr15:38417184-38449021"
,"2310043O21Rik",15,0,"chr15:38479098-38524689"
,"Atp6v1c1",15,272,"chr15:38591658-38622199"
,"Baalc",15,0,"chr15:38765454-38782810"
,"Fzd6",15,17,"chr15:38837825-38869736"
,"Cthrc1",15,1,"chr15:38908477-38918665"
,"Slc25a32",15,176,"chr15:38925736-38944262"
,"Dcaf13",15,367,"chr15:38944419-38978401"
,"Rims2",15,2,"chr15:39029831-39515918"
,"Tm7sf4",15,4,"chr15:39577477-39592480"
,"Dpys",15,1,"chr15:39600030-39689016"
,"Gm16291",15,0,"chr15:39628590-39643923"
,"Lrp12",15,42,"chr15:39702148-39775303"
,"AU022793",15,0,"chr15:39794194-39799061"
,"9330182O14Rik",15,0,"chr15:39965910-39981556"
,"Gm16294",15,0,"chr15:40342867-40358823"
,"Zfpm2",15,17,"chr15:40486587-40936138"
,"Oxr1",15,759,"chr15:41279027-41692593"
,"Abra",15,0,"chr15:41696838-41701266"
,"Angpt1",15,172,"chr15:42256270-42508341"
,"Rspo2",15,1,"chr15:42852340-43002364"
,"Eif3e",15,1079,"chr15:43081585-43114282"
,"Gm10373",15,0,"chr15:43262488-43308582"
,"Ttc35",15,123,"chr15:43308774-43359323"
,"Tmem74",15,4,"chr15:43698240-43701575"
,"Trhr",15,0,"chr15:44027680-44067458"
,"Nudcd1",15,180,"chr15:44206772-44259853"
,"Eny2",15,69,"chr15:44259656-44269231"
,"Pkhd1l1",15,79,"chr15:44289098-44428681"
,"Ebag9",15,226,"chr15:44451186-44472572"
,"Sybu",15,4,"chr15:44503402-44619609"
,"2310069G16Rik",15,0,"chr15:44619308-44637375"
,"A930017M01Rik",15,0,"chr15:44712939-44716289"
,"Kcnv1",15,0,"chr15:44937829-44946480"
,"1700022A22Rik",15,0,"chr15:46156130-46205445"
,"4930523O13Rik",15,0,"chr15:46267411-46327725"
,"4930548G14Rik",15,0,"chr15:46454850-46471404"
,"Csmd3",15,29,"chr15:47412183-48623535"
,"Trps1",15,199,"chr15:50486304-50721587"
,"Mir1907",15,0,"chr15:50720570-50720660"
,"Gm19303",15,0,"chr15:51063185-51227156"
,"Eif3h",15,1423,"chr15:51618108-51697007"
